0.107 (+/-0.135) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'adam'}
0.100 (+/-0.147) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'lbfgs'}
0.058 (+/-0.041) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'sgd'}
0.228 (+/-0.215) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'adam'}
0.128 (+/-0.314) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'lbfgs'}
0.065 (+/-0.091) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'sgd'}
0.222 (+/-0.203) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'adam'}
0.206 (+/-0.479) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'lbfgs'}
0.079 (+/-0.124) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'sgd'}
0.086 (+/-0.149) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'adam'}
0.184 (+/-0.248) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'lbfgs'}
0.086 (+/-0.106) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'sgd'}
